epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,739.077,0.89867,0.60361,1.13187,0.79122,0.68257,0.79112,0.56822,1.02651,1.01335,1.25222,0.001035,0.001035,0.001035
45,755.508,0.9091,0.62514,1.14487,0.88507,0.7265,0.82077,0.59808,0.99121,0.97012,1.20667,0.00103,0.00103,0.00103
46,771.889,0.88925,0.58683,1.13608,0.84392,0.70521,0.7836,0.56133,1.02385,1.09532,1.24545,0.001025,0.001025,0.001025
47,788.354,0.85886,0.59152,1.11938,0.89165,0.73614,0.79632,0.57483,1.01543,1.20243,1.23122,0.00102,0.00102,0.00102
48,804.863,0.86916,0.59995,1.12275,0.86254,0.77397,0.81622,0.59155,1.04928,1.0416,1.2371,0.001015,0.001015,0.001015
49,821.276,0.86754,0.59121,1.11319,0.84271,0.67897,0.75014,0.57067,1.00552,1.1056,1.23137,0.00101,0.00101,0.00101
50,837.921,0.85761,0.58229,1.12251,0.7907,0.74294,0.7667,0.56879,0.96861,0.92807,1.21087,0.001005,0.001005,0.001005
51,854.32,0.85561,0.57186,1.11992,0.77364,0.72181,0.78337,0.58352,0.95045,0.96079,1.18955,0.001,0.001,0.001
52,870.835,0.85717,0.58192,1.10715,0.90965,0.6607,0.7924,0.57402,1.0018,1.04803,1.26266,0.000995,0.000995,0.000995
53,887.377,0.8129,0.5674,1.09368,0.88845,0.72545,0.83565,0.59919,1.0162,0.9206,1.26897,0.00099,0.00099,0.00099
54,903.93,0.83807,0.55976,1.10399,0.87837,0.6627,0.78047,0.58861,0.94483,1.03705,1.20806,0.000985,0.000985,0.000985
55,920.501,0.82592,0.57158,1.10391,0.72053,0.70812,0.76288,0.56604,1.08517,1.11061,1.28718,0.00098,0.00098,0.00098
56,937.078,0.83763,0.54066,1.10677,0.80504,0.7546,0.82241,0.61621,0.94203,0.92731,1.22259,0.000975,0.000975,0.000975
57,953.792,0.82936,0.55672,1.09969,0.75755,0.71195,0.77837,0.57707,1.05213,1.08611,1.34167,0.00097,0.00097,0.00097
58,970.414,0.85556,0.5703,1.11317,0.76742,0.78635,0.8294,0.58577,1.04245,1.06026,1.26532,0.000965,0.000965,0.000965
59,987.023,0.82182,0.55501,1.1042,0.86568,0.70203,0.80831,0.59454,0.93924,1.03581,1.1853,0.00096,0.00096,0.00096
60,1003.58,0.79973,0.54474,1.0868,0.83517,0.76929,0.81002,0.6393,0.89448,0.95551,1.1836,0.000955,0.000955,0.000955
61,1020.21,0.79528,0.53792,1.07587,0.83815,0.76924,0.833,0.62759,0.97036,0.90071,1.20354,0.00095,0.00095,0.00095
62,1036.78,0.80028,0.55124,1.07793,0.81074,0.75007,0.81319,0.61556,0.97323,0.8275,1.20941,0.000945,0.000945,0.000945
63,1053.36,0.79566,0.53986,1.08316,0.83782,0.69142,0.78947,0.60845,0.9889,1.0317,1.27664,0.00094,0.00094,0.00094
64,1070.5,0.78772,0.53953,1.07752,0.86225,0.73785,0.79302,0.59503,0.98516,0.97518,1.26975,0.000935,0.000935,0.000935
65,1087.09,0.79958,0.54262,1.08547,0.86112,0.73718,0.81327,0.62092,0.9744,0.86372,1.23445,0.00093,0.00093,0.00093
66,1104.94,0.78882,0.54219,1.08624,0.86646,0.7621,0.81306,0.60618,1.01084,1.08323,1.2616,0.000925,0.000925,0.000925
67,1122.28,0.76323,0.51531,1.06056,0.75612,0.77147,0.79698,0.61223,0.95832,0.93304,1.19585,0.00092,0.00092,0.00092
