epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.8158,2.75736,7.30644,3.21791,0.2979,0.41247,0.32888,0.26892,1.69499,5.70799,2.32215,0.0671854,0.000331461,0.000331461
2,84.5176,2.56136,4.28564,2.97016,0.59521,0.60048,0.62483,0.42554,2.37922,3.73153,2.52741,0.0341721,0.000651498,0.000651498
3,119.541,2.47088,3.12797,2.83892,0.72533,0.65318,0.74844,0.53238,2.01833,2.67325,2.38381,0.00114547,0.000958203,0.000958203
4,154.215,2.34924,2.47864,2.72379,0.6423,0.7992,0.77293,0.55501,2.16141,2.25502,2.38595,0.000940001,0.000940001,0.000940001
5,189.377,2.4339,2.12633,2.74718,0.84086,0.76175,0.85185,0.61255,2.14933,1.83925,2.45099,0.000920001,0.000920001,0.000920001
6,224.911,2.31462,1.88161,2.69801,0.84052,0.7857,0.85774,0.59124,2.27003,1.62631,2.48301,0.000900001,0.000900001,0.000900001
7,260.316,2.31501,1.76642,2.67259,0.74986,0.83882,0.81948,0.59017,2.10329,1.79075,2.46161,0.000880001,0.000880001,0.000880001
8,295.259,2.16691,1.62245,2.63264,0.8191,0.77948,0.82667,0.65289,1.70458,1.50972,2.32527,0.000860001,0.000860001,0.000860001
9,331.728,2.07519,1.53433,2.55687,0.84551,0.7624,0.84059,0.6412,1.66359,1.59943,2.29319,0.000840002,0.000840002,0.000840002
10,366.823,1.99423,1.38224,2.46974,0.88113,0.78854,0.86612,0.69963,1.46623,1.36226,2.126,0.000820002,0.000820002,0.000820002
11,401.681,1.93447,1.35017,2.45329,0.84425,0.84863,0.89355,0.73793,1.32586,1.21867,2.03229,0.000800002,0.000800002,0.000800002
12,436.449,1.91531,1.31046,2.40543,0.83995,0.86312,0.89862,0.73044,1.42042,1.20246,2.10227,0.000780002,0.000780002,0.000780002
13,471.552,1.87254,1.26925,2.43156,0.84073,0.81931,0.84828,0.72425,1.26154,1.43804,2.06751,0.000760002,0.000760002,0.000760002
14,506.556,1.8149,1.21561,2.37514,0.82001,0.86153,0.8973,0.72177,1.47063,1.22477,2.17795,0.000740003,0.000740003,0.000740003
15,542.189,1.79449,1.21476,2.36645,0.86318,0.7397,0.85857,0.71112,1.39287,1.34998,2.11157,0.000720003,0.000720003,0.000720003
16,576.65,1.77844,1.19693,2.36512,0.82149,0.83931,0.84962,0.71888,1.34315,1.40848,2.11243,0.000700003,0.000700003,0.000700003
17,611.302,1.71174,1.13626,2.30826,0.81009,0.86547,0.86791,0.7007,1.36727,1.25229,2.14487,0.000680003,0.000680003,0.000680003
18,645.915,1.66243,1.14574,2.27075,0.88618,0.82088,0.88051,0.7153,1.27105,1.29972,2.11669,0.000660003,0.000660003,0.000660003
