epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1045,2.77617,7.56257,3.23268,0.12946,0.43559,0.13078,0.10702,1.56808,9.72492,2.2863,0.0671191,0.000265169,0.000265169
2,85.9831,2.58925,4.58463,3.01669,0.50145,0.43249,0.47152,0.34433,2.24577,8.43608,2.45045,0.0340418,0.000521199,0.000521199
3,121.459,2.4979,3.31347,2.86937,0.75515,0.62926,0.73223,0.52089,2.04135,2.84604,2.37659,0.000953828,0.000766562,0.000766562
4,156.863,2.36731,2.6269,2.74458,0.81769,0.68465,0.77832,0.53476,2.17197,2.35037,2.4145,0.000752,0.000752,0.000752
5,192.281,2.44823,2.23234,2.77483,0.79795,0.74608,0.82369,0.57962,2.30893,1.91888,2.50722,0.000736,0.000736,0.000736
6,227.761,2.3476,1.96886,2.70631,0.81406,0.70847,0.79591,0.56293,2.2226,1.99128,2.53125,0.00072,0.00072,0.00072
7,263.458,2.31669,1.84382,2.67365,0.81687,0.81475,0.83312,0.58875,2.25344,1.74533,2.46888,0.000704,0.000704,0.000704
8,299.012,2.21997,1.69426,2.65055,0.87509,0.7784,0.87866,0.65218,1.93393,1.53483,2.36572,0.000688,0.000688,0.000688
9,334.299,2.11538,1.62884,2.58964,0.79232,0.80119,0.86203,0.66297,1.64901,1.61323,2.23705,0.000672,0.000672,0.000672
10,369.723,2.01564,1.4813,2.51457,0.8876,0.8103,0.87102,0.69169,1.52922,1.32037,2.19929,0.000656,0.000656,0.000656
11,405.09,1.96976,1.39903,2.50391,0.89868,0.85475,0.88223,0.73783,1.33901,1.21661,2.07124,0.00064,0.00064,0.00064
12,441.084,1.93234,1.35539,2.42723,0.91315,0.79739,0.89879,0.73046,1.31566,1.22157,2.06567,0.000624,0.000624,0.000624
13,476.394,1.88714,1.30989,2.44616,0.9053,0.85036,0.90063,0.74328,1.28393,1.14226,2.05684,0.000608,0.000608,0.000608
14,511.974,1.84371,1.2482,2.39713,0.89263,0.80194,0.88773,0.71593,1.4497,1.23013,2.12002,0.000592,0.000592,0.000592
15,548.283,1.82994,1.25221,2.38455,0.86111,0.82316,0.88241,0.74241,1.27497,1.23987,2.06417,0.000576,0.000576,0.000576
16,583.836,1.7865,1.25195,2.38929,0.90493,0.79471,0.87572,0.71867,1.40275,1.28473,2.12931,0.00056,0.00056,0.00056
17,619.231,1.74195,1.17249,2.3532,0.88881,0.83715,0.86486,0.71514,1.35149,1.26616,2.10313,0.000544,0.000544,0.000544
18,654.475,1.69422,1.19438,2.31764,0.90568,0.74859,0.84045,0.68909,1.24799,1.34399,2.07608,0.000528,0.000528,0.000528
19,689.895,1.69385,1.13856,2.31812,0.84524,0.8571,0.88455,0.74491,1.29451,1.17863,2.05425,0.000512,0.000512,0.000512
20,725.214,1.68894,1.10062,2.29576,0.81993,0.86893,0.86514,0.72429,1.25424,1.26906,2.05328,0.000496,0.000496,0.000496
