epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8185,2.96709,7.9395,2.9561,0.15886,0.34612,0.17899,0.14036,1.53587,5.98067,2.07363,0.0677333,0.000325926,0.000325926
2,45.6291,2.68693,4.96768,2.74175,0.46524,0.477,0.47815,0.36816,2.01468,4.17802,2.17582,0.0347201,0.000646074,0.000646074
3,61.8446,2.64673,3.59927,2.62066,0.52163,0.58164,0.5975,0.43592,2.2414,3.22465,2.1846,0.00169363,0.000952889,0.000952889
4,77.7313,2.48332,2.79696,2.52916,0.72204,0.6705,0.7031,0.52398,2.11981,2.57506,2.16875,0.00094,0.00094,0.00094
5,93.0588,2.45572,2.36128,2.46449,0.73911,0.7299,0.75515,0.53869,2.31235,2.192,2.19426,0.00092,0.00092,0.00092
6,108.151,2.38675,2.01838,2.40475,0.69887,0.73618,0.73973,0.55972,2.04183,2.09554,2.12663,0.0009,0.0009,0.0009
7,123.784,2.3488,1.91037,2.3721,0.77851,0.72335,0.77331,0.53463,2.40037,1.97593,2.21828,0.00088,0.00088,0.00088
8,139.297,2.3026,1.75808,2.34992,0.71586,0.75575,0.75703,0.51788,2.38889,2.03141,2.2472,0.00086,0.00086,0.00086
9,154.386,2.25694,1.62899,2.31167,0.75012,0.71358,0.73672,0.48698,2.44366,2.06997,2.25307,0.00084,0.00084,0.00084
10,169.865,2.23622,1.58933,2.3216,0.75829,0.79439,0.8039,0.58051,2.22617,1.65929,2.19123,0.00082,0.00082,0.00082
11,185.199,2.1458,1.4851,2.30089,0.87309,0.75306,0.82923,0.62348,1.98059,1.53877,2.12056,0.0008,0.0008,0.0008
12,200.57,2.08375,1.44105,2.25677,0.82159,0.84445,0.8629,0.61622,2.11683,1.51636,2.15622,0.00078,0.00078,0.00078
13,215.799,1.99017,1.38398,2.21864,0.7393,0.73987,0.77074,0.59843,1.73994,1.75611,2.05563,0.00076,0.00076,0.00076
14,230.987,1.96142,1.35731,2.22171,0.84465,0.80571,0.86965,0.67485,1.82214,1.44152,2.0563,0.00074,0.00074,0.00074
15,246.162,1.91696,1.3127,2.21043,0.90236,0.80284,0.85226,0.68692,1.56753,1.45151,1.99886,0.00072,0.00072,0.00072
16,261.348,1.83653,1.25032,2.17241,0.90368,0.81776,0.85336,0.66131,1.74859,1.4566,2.04284,0.0007,0.0007,0.0007
17,276.539,1.84785,1.28217,2.18472,0.87641,0.80705,0.85324,0.69547,1.47608,1.44756,1.9071,0.00068,0.00068,0.00068
18,291.924,1.76228,1.21986,2.13417,0.85937,0.78412,0.84885,0.68424,1.58062,1.51408,1.99277,0.00066,0.00066,0.00066
19,307.091,1.76982,1.21936,2.12894,0.79727,0.78359,0.82638,0.6569,1.56275,1.63935,2.03799,0.00064,0.00064,0.00064
20,322.267,1.77052,1.19657,2.15332,0.85779,0.75966,0.81287,0.67369,1.56818,1.5699,1.98592,0.00062,0.00062,0.00062
21,337.538,1.7143,1.14662,2.1092,0.92429,0.74556,0.83901,0.68156,1.49281,1.59099,1.89917,0.0006,0.0006,0.0006
22,352.762,1.7335,1.14074,2.11297,0.88706,0.77108,0.84566,0.71055,1.39493,1.52745,1.8528,0.00058,0.00058,0.00058
23,367.899,1.69095,1.10835,2.0975,0.86843,0.74397,0.83763,0.68358,1.47139,1.55592,1.97933,0.00056,0.00056,0.00056
24,382.899,1.70401,1.12455,2.09697,0.8297,0.79542,0.81604,0.65674,1.5708,1.72904,1.97829,0.00054,0.00054,0.00054
25,397.896,1.67682,1.08293,2.08588,0.86287,0.79086,0.83845,0.68996,1.46093,1.68696,1.93837,0.00052,0.00052,0.00052
26,412.895,1.60195,1.02089,2.06167,0.90703,0.77884,0.85329,0.7097,1.36332,1.51028,1.90755,0.0005,0.0005,0.0005
27,427.865,1.59717,1.024,2.07188,0.92121,0.8057,0.84729,0.6886,1.45708,1.61115,1.90994,0.000480001,0.000480001,0.000480001
28,442.812,1.55927,1.01568,2.0513,0.84244,0.79296,0.84355,0.69997,1.42794,1.58555,1.93505,0.000460001,0.000460001,0.000460001
29,457.825,1.54593,0.99395,2.06122,0.85832,0.8245,0.86894,0.73685,1.36146,1.39878,1.93231,0.000440001,0.000440001,0.000440001
30,472.732,1.57039,1.03123,2.07058,0.88676,0.74782,0.86739,0.72101,1.42668,1.42972,2.0031,0.000420001,0.000420001,0.000420001
31,487.664,1.51954,0.9977,2.04813,0.90521,0.77513,0.86379,0.72667,1.39227,1.38434,1.95111,0.000400001,0.000400001,0.000400001
32,502.618,1.48989,0.96615,2.03477,0.9263,0.74266,0.86404,0.73715,1.37242,1.36293,1.89941,0.000380001,0.000380001,0.000380001
33,517.573,1.49837,0.96417,2.0335,0.96075,0.7602,0.87542,0.72532,1.44413,1.35577,1.97173,0.000360001,0.000360001,0.000360001
34,532.574,1.50875,0.96874,2.03788,0.92928,0.7691,0.85025,0.711,1.47343,1.41039,1.98337,0.000340001,0.000340001,0.000340001
35,547.598,1.49364,0.97968,2.0375,0.89461,0.80715,0.87143,0.72881,1.41371,1.31746,1.99273,0.000320001,0.000320001,0.000320001
36,562.581,1.51395,0.91389,2.02923,0.89109,0.8211,0.88058,0.72805,1.41464,1.35327,1.97949,0.000300001,0.000300001,0.000300001
