epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.315,2.96709,7.9395,2.9561,0.15886,0.34612,0.17899,0.14036,1.53587,5.98067,2.07363,0.0677333,0.000325926,0.000325926
2,44.5143,2.68797,4.96691,2.742,0.6431,0.46414,0.48605,0.37601,2.00915,4.18629,2.1795,0.0347201,0.000646074,0.000646074
3,59.5106,2.65238,3.59441,2.62492,0.6196,0.58751,0.6333,0.46917,2.20885,3.14592,2.19154,0.00169363,0.000952889,0.000952889
4,74.5601,2.48269,2.78422,2.53589,0.67719,0.67996,0.7155,0.5405,2.01729,2.61342,2.14108,0.000940001,0.000940001,0.000940001
5,89.7431,2.46107,2.39633,2.50215,0.7617,0.75329,0.79164,0.56261,2.36871,2.06537,2.24703,0.000920001,0.000920001,0.000920001
6,104.614,2.38163,2.02161,2.42353,0.79041,0.70115,0.76128,0.55587,2.18127,2.06036,2.19002,0.000900001,0.000900001,0.000900001
7,119.43,2.3531,1.89514,2.40648,0.79724,0.70878,0.77796,0.56072,2.20013,1.85019,2.13997,0.000880001,0.000880001,0.000880001
8,134.232,2.32315,1.76098,2.38701,0.88837,0.74726,0.80232,0.56872,2.39255,1.78267,2.26397,0.000860001,0.000860001,0.000860001
9,149.067,2.25261,1.66182,2.34979,0.88957,0.72649,0.80989,0.55515,2.38978,1.93632,2.27976,0.000840002,0.000840002,0.000840002
10,163.918,2.23834,1.56229,2.3479,0.84269,0.73066,0.82916,0.60016,2.14883,1.65163,2.20109,0.000820002,0.000820002,0.000820002
11,178.753,2.14758,1.4814,2.32707,0.84911,0.70905,0.79958,0.60933,1.95598,1.72912,2.11792,0.000800002,0.000800002,0.000800002
12,193.591,2.10138,1.44295,2.29529,0.90728,0.77384,0.84146,0.62461,1.98561,1.657,2.14569,0.000780002,0.000780002,0.000780002
13,208.458,1.99364,1.37863,2.25023,0.91831,0.70686,0.82896,0.65421,1.73466,1.68542,2.09175,0.000760002,0.000760002,0.000760002
14,223.312,1.99722,1.36075,2.25233,0.9253,0.77805,0.8681,0.67576,1.81664,1.40709,2.06699,0.000740003,0.000740003,0.000740003
15,238.087,1.92781,1.33308,2.2082,0.94274,0.75957,0.87908,0.71376,1.51575,1.28674,1.96403,0.000720003,0.000720003,0.000720003
16,252.866,1.88427,1.2755,2.18143,0.87359,0.7561,0.86555,0.65462,1.79389,1.56052,2.05545,0.000700003,0.000700003,0.000700003
17,267.654,1.88276,1.30825,2.20971,0.78909,0.81997,0.84744,0.68272,1.52441,1.45721,1.96561,0.000680003,0.000680003,0.000680003
18,282.488,1.78294,1.22918,2.14718,0.85385,0.78851,0.84326,0.68636,1.64542,1.43652,2.0062,0.000660003,0.000660003,0.000660003
19,297.407,1.78735,1.21494,2.1429,0.90739,0.77715,0.85581,0.70231,1.51432,1.41582,1.98174,0.000640004,0.000640004,0.000640004
20,312.284,1.78555,1.20642,2.16386,0.89606,0.73798,0.85641,0.69861,1.54059,1.50415,1.98567,0.000620004,0.000620004,0.000620004
21,327.128,1.71484,1.15092,2.14367,0.85168,0.81781,0.89439,0.71843,1.66673,1.29106,2.04187,0.000600004,0.000600004,0.000600004
22,342.019,1.73627,1.14487,2.15143,0.94977,0.78565,0.90137,0.74555,1.47582,1.31958,1.96731,0.000580004,0.000580004,0.000580004
23,357.013,1.71746,1.09858,2.13754,0.85319,0.83774,0.89516,0.72194,1.52117,1.28742,1.9991,0.000560004,0.000560004,0.000560004
24,371.841,1.71166,1.12661,2.12271,0.94542,0.81284,0.89996,0.71539,1.62885,1.33158,2.06009,0.000540005,0.000540005,0.000540005
25,386.615,1.66305,1.07815,2.10264,0.88264,0.80559,0.87921,0.71656,1.52633,1.35246,2.07448,0.000520005,0.000520005,0.000520005
26,401.46,1.63456,1.02724,2.09406,0.93521,0.78301,0.89205,0.73113,1.43883,1.3621,1.96025,0.000500005,0.000500005,0.000500005
27,416.321,1.60172,1.02428,2.0841,0.94089,0.80423,0.87704,0.71043,1.58108,1.36646,2.09301,0.000480005,0.000480005,0.000480005
28,431.101,1.56407,1.01571,2.05617,0.87448,0.79775,0.88252,0.73798,1.50354,1.35555,2.01685,0.000460005,0.000460005,0.000460005
29,445.881,1.55025,0.99301,2.0562,0.9014,0.81539,0.88949,0.74264,1.51686,1.31536,2.09493,0.000440006,0.000440006,0.000440006
