epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1608.05,0.74947,0.4015,1.11364,0.89136,0.77075,0.84804,0.6546,0.77253,0.75098,1.13961,0.000128001,0.000128001,0.000128001
44,1644.54,0.7425,0.39625,1.10804,0.81936,0.78443,0.81632,0.63239,0.78271,0.78342,1.14095,0.000112001,0.000112001,0.000112001
45,1680.97,0.70943,0.37938,1.08105,0.80125,0.78436,0.81335,0.61971,0.81428,0.79859,1.15123,9.60007e-05,9.60007e-05,9.60007e-05
46,1718.22,0.70091,0.36841,1.07697,0.80835,0.79606,0.81251,0.64054,0.80468,0.79685,1.15064,8.00007e-05,8.00007e-05,8.00007e-05
47,1754.86,0.68841,0.3698,1.08138,0.85313,0.78268,0.83093,0.66009,0.79165,0.77959,1.15055,6.40007e-05,6.40007e-05,6.40007e-05
48,1791.31,0.67898,0.35852,1.06485,0.85486,0.78771,0.83226,0.64454,0.82092,0.76502,1.16267,4.80008e-05,4.80008e-05,4.80008e-05
49,1827.69,0.66144,0.35453,1.04998,0.85587,0.78443,0.83782,0.64959,0.83611,0.76984,1.1725,3.20008e-05,3.20008e-05,3.20008e-05
50,1864.18,0.65263,0.3428,1.05879,0.85943,0.77951,0.83886,0.65551,0.83429,0.76804,1.16366,1.60008e-05,1.60008e-05,1.60008e-05
1,539.677,1.3879,1.69718,1.43384,0.54095,0.45291,0.486,0.27861,1.57794,3.94343,1.75121,0.0676681,0.000260741,0.000260741
2,1025.28,1.43918,1.27083,1.4985,0.56255,0.62628,0.65797,0.40757,1.31893,2.65814,1.58457,0.0345839,0.000509827,0.000509827
1,23.4351,1.3934,1.8963,1.40372,0.71377,0.40046,0.40231,0.22922,1.72173,2.55309,1.58166,0.0676681,0.000260741,0.000260741
2,39.4961,1.37941,1.25631,1.39002,0.65267,0.69496,0.67348,0.39165,1.5073,1.56943,1.45295,0.0345839,0.000509827,0.000509827
3,53.4277,1.36504,1.16733,1.3861,0.611,0.68565,0.69844,0.3644,1.58451,1.47267,1.55247,0.00148188,0.000741136,0.000741136
4,67.2163,1.33867,1.13316,1.378,0.72312,0.5429,0.59524,0.37171,1.49361,1.56924,1.45142,0.00072,0.00072,0.00072
5,80.9617,1.32521,1.10953,1.37018,0.5285,0.56585,0.51779,0.32369,1.48558,2.11491,1.50154,0.000693333,0.000693333,0.000693333
6,94.7523,1.26349,0.9932,1.31609,0.7627,0.62283,0.70718,0.45672,1.3811,1.37043,1.41604,0.000666667,0.000666667,0.000666667
7,108.606,1.25804,1.00719,1.32887,0.75755,0.71976,0.7537,0.48263,1.34414,1.16102,1.3619,0.00064,0.00064,0.00064
8,122.485,1.2127,0.90918,1.2894,0.78627,0.72816,0.74231,0.43789,1.63572,1.42701,1.47765,0.000613334,0.000613334,0.000613334
9,136.289,1.20801,0.91199,1.28473,0.65698,0.58267,0.59432,0.37812,1.27715,1.60383,1.35367,0.000586667,0.000586667,0.000586667
10,150.071,1.16677,0.84412,1.26267,0.7562,0.72335,0.75098,0.47904,1.23391,1.05284,1.28449,0.00056,0.00056,0.00056
11,163.981,1.14106,0.83543,1.25591,0.86014,0.66413,0.7572,0.52487,1.10184,1.15884,1.25817,0.000533334,0.000533334,0.000533334
