epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.3472,2.84065,8.30307,3.26528,0.35074,0.12582,0.08289,0.07211,1.36717,9.75296,2.2687,0.0669534,9.94382e-05,9.94382e-05
2,94.4519,2.69826,5.96661,3.16105,0.17474,0.45037,0.21913,0.18015,1.67585,7.38022,2.2924,0.033716,0.000195449,0.000195449
3,134.067,2.55604,4.60145,2.98549,0.46916,0.48815,0.49733,0.36067,2.06245,4.60172,2.41646,0.000474727,0.000287461,0.000287461
4,173.178,2.46567,3.68506,2.84365,0.68252,0.54116,0.64033,0.44741,2.29163,3.65839,2.49199,0.000282,0.000282,0.000282
5,212.457,2.57072,3.11237,2.88866,0.84112,0.55319,0.70253,0.48483,2.30235,3.2484,2.48887,0.000276,0.000276,0.000276
6,252.17,2.44257,2.73172,2.80411,0.7981,0.67506,0.80159,0.57087,2.10087,2.47582,2.40617,0.00027,0.00027,0.00027
7,291.554,2.41629,2.51104,2.77824,0.84236,0.68436,0.8188,0.58972,2.15208,2.21127,2.40722,0.000264,0.000264,0.000264
8,330.554,2.36075,2.29023,2.7672,0.80647,0.73034,0.83354,0.61672,2.08342,2.03289,2.40238,0.000258,0.000258,0.000258
9,370.022,2.33677,2.09906,2.71265,0.88386,0.73025,0.85235,0.60124,2.23854,1.96164,2.48801,0.000252,0.000252,0.000252
10,408.472,2.31472,1.99355,2.69336,0.8212,0.77184,0.84999,0.6196,2.01009,1.9165,2.37481,0.000246,0.000246,0.000246
11,446.312,2.29693,1.88584,2.71696,0.84994,0.78874,0.86599,0.61716,2.14006,1.92318,2.41089,0.00024,0.00024,0.00024
12,484.167,2.24337,1.82792,2.63593,0.85336,0.79332,0.88096,0.62029,2.23604,1.7574,2.46616,0.000234,0.000234,0.000234
13,522.2,2.25322,1.76447,2.66015,0.84197,0.81033,0.87004,0.62357,1.98718,1.71491,2.36057,0.000228,0.000228,0.000228
14,560.078,2.14296,1.66361,2.5998,0.80542,0.79243,0.8633,0.63672,1.90593,1.66602,2.34014,0.000222,0.000222,0.000222
15,599.208,2.15194,1.67596,2.60981,0.80691,0.79079,0.85046,0.63118,1.83951,1.6556,2.30977,0.000216,0.000216,0.000216
16,638.498,2.04736,1.66141,2.56285,0.79769,0.8013,0.87191,0.66454,1.6083,1.50814,2.22232,0.00021,0.00021,0.00021
17,677.927,1.97744,1.55349,2.50478,0.76632,0.84233,0.88279,0.67839,1.54064,1.58884,2.15191,0.000204,0.000204,0.000204
18,717.199,1.98144,1.55978,2.49135,0.79897,0.83935,0.88863,0.6897,1.49824,1.44963,2.15319,0.000198,0.000198,0.000198
19,755.013,1.9207,1.47438,2.46137,0.80793,0.84916,0.89231,0.71359,1.38641,1.36369,2.14397,0.000192,0.000192,0.000192
20,792.618,1.9076,1.45716,2.4394,0.8055,0.86695,0.89466,0.72469,1.40519,1.40319,2.16416,0.000186,0.000186,0.000186
21,828.551,1.84137,1.37367,2.43917,0.81978,0.85155,0.89566,0.73339,1.37145,1.39212,2.12256,0.00018,0.00018,0.00018
22,864.298,1.88957,1.41571,2.44538,0.83432,0.86944,0.90793,0.74391,1.36311,1.30659,2.11317,0.000174,0.000174,0.000174
23,900.33,1.9,1.38939,2.46001,0.80079,0.89284,0.91264,0.75798,1.31294,1.35996,2.09054,0.000168,0.000168,0.000168
24,936.072,1.79064,1.3256,2.37456,0.88385,0.84797,0.91108,0.75672,1.28623,1.41447,2.04098,0.000162,0.000162,0.000162
25,971.807,1.81402,1.31984,2.379,0.84266,0.85721,0.908,0.76494,1.26846,1.36322,2.02879,0.000156,0.000156,0.000156
26,1007.62,1.76397,1.27669,2.36644,0.87983,0.84551,0.91088,0.7604,1.20155,1.334,1.99833,0.00015,0.00015,0.00015
27,1043.36,1.77834,1.27419,2.37582,0.88336,0.80287,0.89599,0.75908,1.22879,1.34156,2.01101,0.000144,0.000144,0.000144
28,1079.35,1.78626,1.298,2.37887,0.89748,0.78033,0.89481,0.73664,1.28799,1.33266,2.07721,0.000138,0.000138,0.000138
29,1115.53,1.72296,1.26349,2.38757,0.84602,0.79571,0.89305,0.74488,1.26752,1.36387,2.07575,0.000132,0.000132,0.000132
30,1153.04,1.76842,1.24022,2.36508,0.84036,0.84158,0.89691,0.73345,1.24418,1.37675,2.07585,0.000126,0.000126,0.000126
31,1189.46,1.75485,1.23899,2.35855,0.87689,0.81189,0.9037,0.73625,1.24401,1.37196,2.07327,0.00012,0.00012,0.00012
32,1226.33,1.68847,1.20873,2.34935,0.81075,0.84758,0.88324,0.71527,1.28814,1.39515,2.08592,0.000114,0.000114,0.000114
