epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5448,2.868,7.97837,3.27197,0.22789,0.25516,0.18784,0.16259,1.37036,6.96919,2.2393,0.067206,0.000164794,0.000164794
2,78.5604,2.63189,5.28399,3.09935,0.72932,0.35108,0.497,0.36019,1.96952,4.62287,2.39919,0.0340327,0.000324831,0.000324831
3,110.43,2.56577,3.77001,2.88367,0.55099,0.52802,0.62086,0.42142,2.27598,3.66085,2.47184,0.000852734,0.000478202,0.000478202
4,141.956,2.44659,2.99689,2.82753,0.77877,0.67634,0.7185,0.51071,2.228,2.82885,2.48333,0.00047,0.00047,0.00047
5,173.572,2.47698,2.46209,2.81297,0.91095,0.67315,0.80508,0.55901,2.1667,2.32387,2.44932,0.00046,0.00046,0.00046
6,205.349,2.34423,2.11105,2.6978,0.73897,0.74697,0.82876,0.59675,2.03421,1.89949,2.4353,0.00045,0.00045,0.00045
7,236.446,2.31881,1.99437,2.7161,0.73078,0.88059,0.86185,0.57171,2.37105,1.79696,2.59542,0.00044,0.00044,0.00044
8,266.921,2.28696,1.80728,2.64896,0.82918,0.80694,0.86527,0.63879,1.9205,1.61276,2.33597,0.00043,0.00043,0.00043
9,297.034,2.11431,1.63777,2.57952,0.73707,0.86759,0.86389,0.65657,1.83108,1.53735,2.28405,0.00042,0.00042,0.00042
10,327.149,2.03245,1.54887,2.52185,0.77485,0.85938,0.8653,0.67646,1.68842,1.44508,2.20591,0.00041,0.00041,0.00041
11,357.568,2.00985,1.48418,2.47847,0.82156,0.83015,0.84774,0.67923,1.53073,1.48346,2.21911,0.0004,0.0004,0.0004
12,387.843,1.95518,1.43939,2.48047,0.87825,0.7433,0.86867,0.71013,1.42746,1.47672,2.18854,0.00039,0.00039,0.00039
13,418.28,1.89744,1.34522,2.43381,0.91024,0.77393,0.88286,0.72341,1.36394,1.28778,2.10694,0.00038,0.00038,0.00038
14,448.68,1.87232,1.28193,2.37988,0.87392,0.82692,0.88656,0.71876,1.3757,1.28607,2.11178,0.00037,0.00037,0.00037
15,478.741,1.79557,1.2513,2.4091,0.87607,0.83366,0.88904,0.74217,1.33123,1.34019,2.08437,0.00036,0.00036,0.00036
16,509.103,1.78043,1.26424,2.36532,0.89969,0.82848,0.91529,0.759,1.29098,1.13802,2.02795,0.00035,0.00035,0.00035
17,539.5,1.78464,1.24417,2.36321,0.86413,0.84726,0.90045,0.73485,1.33132,1.23546,2.04869,0.00034,0.00034,0.00034
18,569.407,1.70667,1.14962,2.30497,0.86252,0.83475,0.89747,0.72346,1.3685,1.22271,2.05602,0.00033,0.00033,0.00033
19,599.575,1.7112,1.14423,2.32172,0.88421,0.85317,0.9036,0.73517,1.33743,1.17684,2.07393,0.00032,0.00032,0.00032
20,629.644,1.68806,1.15465,2.3267,0.87326,0.81137,0.89952,0.75274,1.27994,1.21544,2.06588,0.00031,0.00031,0.00031
21,659.787,1.65493,1.10186,2.31983,0.86304,0.87264,0.92639,0.77256,1.24846,1.14147,2.05476,0.0003,0.0003,0.0003
22,690.468,1.65711,1.10322,2.31381,0.84891,0.88378,0.91808,0.78604,1.2612,1.08872,2.05459,0.00029,0.00029,0.00029
23,720.811,1.64202,1.08457,2.30129,0.87319,0.85722,0.91635,0.78283,1.28642,1.01387,2.07244,0.00028,0.00028,0.00028
24,750.953,1.61686,1.05848,2.2665,0.93478,0.83172,0.91466,0.77607,1.30509,0.95427,2.09168,0.00027,0.00027,0.00027
25,781.072,1.59712,1.03002,2.26068,0.90805,0.86613,0.91704,0.76772,1.26828,1.02765,2.07363,0.00026,0.00026,0.00026
26,811.859,1.58674,1.03792,2.26332,0.91516,0.80658,0.9056,0.74537,1.34395,1.10145,2.09465,0.00025,0.00025,0.00025
27,842.969,1.59761,1.04892,2.25653,0.82534,0.92031,0.92667,0.77844,1.26244,1.0086,2.07887,0.00024,0.00024,0.00024
28,872.859,1.57466,1.00398,2.24307,0.91514,0.82901,0.90395,0.75287,1.26553,1.09988,2.08624,0.00023,0.00023,0.00023
29,902.811,1.53022,0.98512,2.23398,0.87783,0.85411,0.90239,0.76625,1.25587,1.12695,2.06651,0.00022,0.00022,0.00022
