epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5247,3.05116,8.88791,3.01058,0.07197,0.15299,0.06012,0.04678,1.54275,8.12744,2.1605,0.06744,3.25926e-05,3.25926e-05
2,43.6205,2.93141,7.82216,2.98498,0.09108,0.25404,0.09083,0.07503,1.52508,7.27292,2.22501,0.0341387,6.46074e-05,6.46074e-05
3,58.6388,2.89839,6.72774,2.93284,0.19893,0.1869,0.14869,0.12454,1.56961,5.98176,2.19165,0.00083603,9.52889e-05,9.52889e-05
4,73.5965,2.69949,5.5959,2.79907,0.19699,0.39014,0.22758,0.1832,1.67732,5.29291,2.0776,9.4e-05,9.4e-05,9.4e-05
5,88.6324,2.70124,4.88921,2.77735,0.23757,0.45234,0.40124,0.29661,1.7622,4.53735,2.09094,9.2e-05,9.2e-05,9.2e-05
6,103.629,2.62601,4.28238,2.66794,0.48431,0.55887,0.51291,0.37521,1.9488,4.04201,2.13773,9e-05,9e-05,9e-05
7,118.588,2.62757,3.99744,2.64376,0.55903,0.52641,0.57367,0.41362,2.05939,3.77833,2.16067,8.8e-05,8.8e-05,8.8e-05
8,133.561,2.61837,3.6425,2.62551,0.71388,0.5875,0.64207,0.45131,2.16881,3.45739,2.1816,8.6e-05,8.6e-05,8.6e-05
9,148.514,2.59131,3.41416,2.6024,0.66328,0.61715,0.67219,0.47832,2.16848,3.22928,2.16612,8.4e-05,8.4e-05,8.4e-05
10,163.473,2.58756,3.15519,2.5949,0.61605,0.62861,0.67039,0.48501,2.14048,3.02738,2.1529,8.2e-05,8.2e-05,8.2e-05
11,178.504,2.4961,2.98551,2.5514,0.66702,0.64286,0.70416,0.51627,2.1504,2.87803,2.14654,8e-05,8e-05,8e-05
12,193.476,2.53905,2.89806,2.54471,0.73501,0.64115,0.72234,0.51776,2.10528,2.79823,2.13886,7.8e-05,7.8e-05,7.8e-05
13,208.638,2.42576,2.70712,2.48462,0.77492,0.62406,0.71582,0.52019,2.06751,2.71107,2.10555,7.6e-05,7.6e-05,7.6e-05
14,223.657,2.46035,2.70306,2.5059,0.66074,0.73441,0.73902,0.54406,2.10327,2.57382,2.1085,7.4e-05,7.4e-05,7.4e-05
15,238.651,2.4742,2.59184,2.51873,0.70682,0.69541,0.74943,0.55251,2.11541,2.46219,2.11573,7.2e-05,7.2e-05,7.2e-05
16,253.586,2.44506,2.53123,2.4851,0.67218,0.76945,0.74429,0.55014,2.10213,2.40714,2.10997,7e-05,7e-05,7e-05
17,268.574,2.41262,2.50716,2.48237,0.79065,0.68056,0.76148,0.55907,2.15919,2.31029,2.12918,6.8e-05,6.8e-05,6.8e-05
18,283.558,2.39316,2.3726,2.46395,0.8007,0.67696,0.7549,0.56088,2.16772,2.26564,2.12973,6.6e-05,6.6e-05,6.6e-05
19,298.526,2.45091,2.36959,2.45882,0.84681,0.65318,0.75903,0.55987,2.14713,2.23887,2.11664,6.4e-05,6.4e-05,6.4e-05
20,313.477,2.40742,2.35691,2.45749,0.7648,0.71224,0.75839,0.55852,2.11595,2.27096,2.11719,6.2e-05,6.2e-05,6.2e-05
21,328.511,2.39455,2.33295,2.46775,0.76434,0.73788,0.76064,0.55425,2.18828,2.25313,2.14934,6e-05,6e-05,6e-05
22,343.785,2.45675,2.26363,2.48163,0.76697,0.70062,0.75232,0.55088,2.18129,2.20795,2.13801,5.8e-05,5.8e-05,5.8e-05
23,359.101,2.4122,2.21545,2.46598,0.82481,0.70016,0.76753,0.56566,2.14526,2.19508,2.12594,5.6e-05,5.6e-05,5.6e-05
24,374.422,2.42127,2.1777,2.43504,0.74989,0.75782,0.77005,0.56392,2.12062,2.14642,2.11815,5.4e-05,5.4e-05,5.4e-05
25,389.745,2.39364,2.13956,2.44514,0.72714,0.74608,0.77362,0.56625,2.15295,2.15912,2.13341,5.2e-05,5.2e-05,5.2e-05
26,405.101,2.32749,2.08778,2.40691,0.75734,0.72589,0.77218,0.55927,2.16991,2.14661,2.13778,5e-05,5e-05,5e-05
27,420.39,2.3422,2.07629,2.4205,0.70763,0.75994,0.76977,0.56427,2.15199,2.1109,2.12904,4.8e-05,4.8e-05,4.8e-05
28,435.69,2.34014,2.07669,2.40764,0.77986,0.74157,0.77978,0.57088,2.14567,2.08627,2.12837,4.6e-05,4.6e-05,4.6e-05
29,450.97,2.36495,2.06235,2.42106,0.7662,0.77182,0.77548,0.56841,2.13538,2.0482,2.12076,4.4e-05,4.4e-05,4.4e-05
30,466.223,2.38075,2.06171,2.42249,0.77447,0.73441,0.7786,0.57297,2.14039,2.07358,2.13256,4.2e-05,4.2e-05,4.2e-05
31,481.497,2.32237,2.01417,2.39887,0.74304,0.73651,0.78021,0.56622,2.14336,2.05354,2.13212,4e-05,4e-05,4e-05
32,496.784,2.29997,1.98492,2.39392,0.73011,0.76341,0.78266,0.57019,2.17678,2.00977,2.14565,3.8e-05,3.8e-05,3.8e-05
33,512.114,2.33857,2.03494,2.41038,0.79585,0.76831,0.78856,0.58137,2.16814,1.98425,2.14691,3.6e-05,3.6e-05,3.6e-05
34,527.427,2.32399,2.00036,2.40568,0.73009,0.76758,0.78512,0.57827,2.12134,2.02189,2.13879,3.4e-05,3.4e-05,3.4e-05
35,542.775,2.32514,1.97167,2.41156,0.72375,0.78,0.78613,0.57551,2.16484,2.02435,2.13933,3.2e-05,3.2e-05,3.2e-05
36,557.957,2.31543,1.96195,2.38663,0.77437,0.76508,0.78684,0.57223,2.19058,1.9772,2.14556,3e-05,3e-05,3e-05
37,573.102,2.30313,1.89429,2.37128,0.7764,0.7148,0.78785,0.57171,2.2026,1.9644,2.14454,2.8e-05,2.8e-05,2.8e-05
38,587.915,2.3171,1.89872,2.3893,0.84519,0.69836,0.79198,0.57616,2.1879,1.93867,2.13997,2.6e-05,2.6e-05,2.6e-05
