epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9223,3.01037,8.4073,2.98678,0.08897,0.22174,0.09082,0.0721,1.47854,6.89611,2.14214,0.0675704,0.000162963,0.000162963
2,46.989,2.77496,5.98693,2.8656,0.39159,0.52298,0.42792,0.32591,1.67037,5.19452,2.08883,0.0343971,0.000323037,0.000323037
3,61.9683,2.70501,4.34632,2.7127,0.61541,0.53384,0.5853,0.4246,2.1306,3.67512,2.21521,0.00121719,0.000476444,0.000476444
4,77.1162,2.55934,3.37899,2.60193,0.63541,0.65971,0.65762,0.47853,2.21936,3.03008,2.1847,0.00047,0.00047,0.00047
5,91.6143,2.52707,2.87303,2.55866,0.82422,0.63529,0.76203,0.52051,2.25846,2.61301,2.20461,0.00046,0.00046,0.00046
6,106.261,2.45812,2.44895,2.4834,0.78831,0.68661,0.77302,0.56918,2.1512,2.18493,2.14715,0.00045,0.00045,0.00045
7,120.858,2.44149,2.27385,2.46883,0.85031,0.70632,0.77456,0.56904,2.20092,2.03504,2.14229,0.00044,0.00044,0.00044
8,135.379,2.38415,2.10215,2.43994,0.79482,0.70366,0.75391,0.53478,2.29171,2.05922,2.20015,0.00043,0.00043,0.00043
9,149.73,2.33407,1.94982,2.40544,0.68941,0.76319,0.78782,0.56857,2.26689,1.87894,2.19074,0.00042,0.00042,0.00042
10,164.217,2.34161,1.81533,2.40803,0.82085,0.81191,0.82065,0.56742,2.27892,1.8362,2.18783,0.00041,0.00041,0.00041
11,178.646,2.27319,1.73566,2.36139,0.8556,0.69434,0.80557,0.57365,2.21238,1.80328,2.15551,0.0004,0.0004,0.0004
12,193.351,2.27476,1.71641,2.34422,0.83498,0.71457,0.81934,0.5762,2.28583,1.86206,2.20488,0.00039,0.00039,0.00039
13,207.806,2.19639,1.56782,2.3099,0.88461,0.74284,0.82783,0.58138,2.10842,1.68539,2.12814,0.00038,0.00038,0.00038
14,222.834,2.19126,1.5742,2.32343,0.79846,0.77716,0.81668,0.57892,2.06784,1.71623,2.13331,0.00037,0.00037,0.00037
15,237.869,2.14465,1.54381,2.30679,0.93526,0.73116,0.85644,0.62653,1.95359,1.49838,2.08213,0.00036,0.00036,0.00036
16,252.776,2.07616,1.52065,2.27365,0.94687,0.7231,0.83826,0.5877,2.07199,1.73535,2.12847,0.00035,0.00035,0.00035
17,267.7,2.04631,1.51977,2.28641,0.81867,0.78834,0.8258,0.62515,1.84001,1.52839,2.08021,0.00034,0.00034,0.00034
18,282.851,1.95641,1.44301,2.23612,0.8332,0.79702,0.82761,0.62484,1.88715,1.56202,2.0784,0.00033,0.00033,0.00033
19,297.998,1.98315,1.43088,2.23354,0.90458,0.73545,0.82844,0.63558,1.73535,1.48626,2.05027,0.00032,0.00032,0.00032
20,313.044,1.91763,1.43431,2.21865,0.88843,0.76464,0.85488,0.67048,1.63206,1.53894,2.00823,0.00031,0.00031,0.00031
21,327.916,1.87763,1.35775,2.20283,0.85535,0.77457,0.85226,0.68644,1.57199,1.49151,1.95942,0.0003,0.0003,0.0003
22,342.852,1.88974,1.35214,2.20623,0.85605,0.76938,0.81866,0.67135,1.45579,1.57878,1.92566,0.00029,0.00029,0.00029
23,357.587,1.85597,1.32466,2.18758,0.82708,0.76323,0.82628,0.66933,1.53325,1.50708,1.97156,0.00028,0.00028,0.00028
24,372.048,1.85613,1.30204,2.16944,0.86327,0.80038,0.83909,0.68236,1.60417,1.50609,1.98964,0.00027,0.00027,0.00027
25,386.809,1.82623,1.26929,2.16538,0.86521,0.77716,0.83725,0.67597,1.5754,1.48408,1.96005,0.00026,0.00026,0.00026
26,401.985,1.75381,1.21292,2.14366,0.85772,0.76741,0.83805,0.69481,1.4595,1.37183,1.96794,0.00025,0.00025,0.00025
