epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.3272,2.84479,8.67569,3.2473,0.11058,0.06179,0.03855,0.0301,1.45742,8.64966,2.33346,0.0669798,3.30532e-05,3.30532e-05
2,81.3914,2.85314,7.19931,3.25038,0.19318,0.20787,0.141,0.12546,1.37087,7.10697,2.2918,0.0336785,6.50588e-05,6.50588e-05
3,114.344,2.77613,6.05802,3.18107,0.2449,0.35354,0.26311,0.22205,1.4428,5.76681,2.21265,0.000375843,9.57311e-05,9.57311e-05
4,147.055,2.6254,5.11907,3.07315,0.3086,0.46725,0.3702,0.29085,1.69081,5.00573,2.2504,9.4e-05,9.4e-05,9.4e-05
5,179.825,2.69859,4.55887,3.05354,0.58907,0.46088,0.51219,0.36223,2.00124,4.4221,2.36972,9.2e-05,9.2e-05,9.2e-05
6,212.466,2.56961,3.91929,2.92798,0.66645,0.55207,0.60526,0.42378,2.1903,3.77947,2.42164,9e-05,9e-05,9e-05
7,245.234,2.55327,3.57821,2.86382,0.75221,0.50332,0.62413,0.43434,2.27876,3.48006,2.44075,8.8e-05,8.8e-05,8.8e-05
8,277.918,2.53073,3.41076,2.8968,0.53763,0.69139,0.61486,0.42224,2.31346,3.51953,2.47173,8.6e-05,8.6e-05,8.6e-05
9,310.569,2.43984,3.07349,2.77719,0.76204,0.51355,0.65803,0.45787,2.22989,3.30633,2.41876,8.4e-05,8.4e-05,8.4e-05
10,343.268,2.44851,2.84059,2.76408,0.67866,0.63877,0.73449,0.51585,2.12124,2.97857,2.38387,8.2e-05,8.2e-05,8.2e-05
11,375.947,2.44897,2.75297,2.82457,0.69702,0.63368,0.73108,0.52036,2.08071,3.14838,2.38812,8e-05,8e-05,8e-05
12,408.737,2.39347,2.70903,2.76482,0.72973,0.72562,0.77879,0.53801,2.19923,2.78606,2.43209,7.8e-05,7.8e-05,7.8e-05
13,441.334,2.40919,2.58342,2.77581,0.73234,0.71483,0.77967,0.52959,2.23015,2.66948,2.44219,7.6e-05,7.6e-05,7.6e-05
