epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.569,2.87554,8.2058,3.23175,0.20647,0.27972,0.15099,0.13813,1.29134,6.80095,2.20076,0.0675704,0.000162963,0.000162963
2,266.01,2.61539,5.47165,3.06473,0.5179,0.44453,0.48805,0.3872,1.81461,4.56765,2.3276,0.0343971,0.000323038,0.000323038
3,424.7,2.58017,3.78501,2.90444,0.62133,0.62373,0.66909,0.46534,2.26948,3.32607,2.48092,0.00121719,0.000476446,0.000476446
