epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1769,3.01037,8.4073,2.98678,0.08897,0.22174,0.09082,0.0721,1.47854,6.89611,2.14214,0.0675704,0.000162963,0.000162963
2,44.3537,2.77489,5.98706,2.86553,0.39132,0.52293,0.42787,0.32587,1.67023,5.19497,2.08869,0.0343971,0.000323038,0.000323038
3,59.2512,2.70537,4.34622,2.71204,0.63007,0.59196,0.59979,0.43725,2.09518,3.6536,2.20329,0.00121719,0.000476446,0.000476446
4,74.0566,2.55933,3.38076,2.60228,0.58474,0.6263,0.63263,0.45978,2.16408,3.0756,2.16397,0.000470003,0.000470003,0.000470003
5,88.9042,2.52495,2.86638,2.55669,0.75273,0.67287,0.74598,0.52604,2.23509,2.53371,2.14499,0.000460004,0.000460004,0.000460004
6,103.79,2.45891,2.44246,2.47226,0.8257,0.6672,0.75807,0.55819,2.17487,2.15682,2.13422,0.000450005,0.000450005,0.000450005
7,118.492,2.44218,2.29783,2.45202,0.83638,0.68358,0.79064,0.57832,2.16326,2.03847,2.10882,0.000440006,0.000440006,0.000440006
8,133.31,2.39421,2.1055,2.42496,0.80786,0.69281,0.75938,0.54077,2.26304,2.08441,2.19977,0.000430007,0.000430007,0.000430007
9,148.281,2.34504,1.94574,2.38992,0.74386,0.76278,0.77713,0.557,2.31432,1.97953,2.21886,0.000420008,0.000420008,0.000420008
10,163.283,2.34169,1.82153,2.38187,0.76829,0.75538,0.80731,0.55302,2.28907,1.91529,2.20738,0.000410009,0.000410009,0.000410009
11,177.709,2.26987,1.73812,2.35174,0.74293,0.75857,0.78496,0.55272,2.21647,1.91023,2.19079,0.00040001,0.00040001,0.00040001
12,192.077,2.27037,1.72047,2.33817,0.75805,0.75923,0.78588,0.55102,2.28992,1.84186,2.23399,0.000390011,0.000390011,0.000390011
13,206.474,2.18347,1.57891,2.30763,0.85698,0.75835,0.82064,0.58603,2.14729,1.7513,2.18757,0.000380012,0.000380012,0.000380012
14,220.882,2.20595,1.58771,2.33163,0.93277,0.74887,0.84217,0.59683,2.12702,1.63417,2.14783,0.000370013,0.000370013,0.000370013
15,235.315,2.1672,1.5222,2.30129,0.80496,0.76289,0.84747,0.62142,1.98971,1.61816,2.08615,0.000360014,0.000360014,0.000360014
16,249.617,2.11279,1.5002,2.28397,0.85821,0.77313,0.84214,0.60674,2.12354,1.56047,2.12943,0.000350015,0.000350015,0.000350015
17,263.935,2.07194,1.52116,2.2988,0.78306,0.77288,0.80103,0.62244,1.81683,1.52979,2.06359,0.000340016,0.000340016,0.000340016
18,278.195,1.9832,1.44331,2.23972,0.82238,0.72072,0.80814,0.60813,1.8338,1.58522,2.05233,0.000330017,0.000330017,0.000330017
19,292.421,2.00894,1.44553,2.23697,0.87507,0.72199,0.83071,0.66705,1.66856,1.50559,1.99566,0.000320018,0.000320018,0.000320018
20,306.788,1.95745,1.4366,2.22563,0.7805,0.76711,0.81758,0.65712,1.66856,1.54257,1.99968,0.000310019,0.000310019,0.000310019
21,321.08,1.91398,1.33965,2.21056,0.93051,0.72646,0.83683,0.66773,1.66402,1.5715,2.01157,0.00030002,0.00030002,0.00030002
22,335.424,1.91176,1.33711,2.21023,0.96539,0.68092,0.85532,0.70047,1.56212,1.45417,1.97493,0.000290021,0.000290021,0.000290021
23,349.716,1.87255,1.32994,2.19501,0.91344,0.71788,0.83996,0.68146,1.62504,1.50987,2.03593,0.000280022,0.000280022,0.000280022
24,364.038,1.88751,1.3015,2.18781,0.90081,0.76268,0.84813,0.69181,1.59379,1.48036,2.01038,0.000270023,0.000270023,0.000270023
25,378.36,1.82771,1.28181,2.16614,0.74614,0.76644,0.81221,0.68501,1.51786,1.59304,1.97432,0.000260024,0.000260024,0.000260024
26,392.796,1.77042,1.20077,2.14591,0.8107,0.75803,0.82637,0.68252,1.49263,1.58696,1.9785,0.000250025,0.000250025,0.000250025
27,407.252,1.75621,1.21142,2.14629,0.77582,0.75478,0.80109,0.65161,1.60084,1.62256,2.01681,0.000240026,0.000240026,0.000240026
28,421.78,1.71635,1.20314,2.11641,0.80672,0.75629,0.82176,0.67812,1.50947,1.61229,1.98202,0.000230027,0.000230027,0.000230027
29,436.847,1.73922,1.19295,2.12953,0.73257,0.79045,0.81475,0.67259,1.47442,1.56805,1.95341,0.000220028,0.000220028,0.000220028
