epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.3407,2.7349,7.50835,3.18238,0.22354,0.32083,0.23304,0.20061,1.48616,6.16396,2.2514,0.0672112,0.000264426,0.000264426
2,81.0376,2.64201,4.58797,3.02364,0.66697,0.52491,0.60719,0.42104,2.1625,3.85867,2.41925,0.0341339,0.000520471,0.000520471
3,114.682,2.56392,3.30232,2.86399,0.80445,0.62516,0.76534,0.52689,2.17872,2.72272,2.419,0.00104596,0.000765849,0.000765849
4,147.164,2.40599,2.5538,2.77546,0.74511,0.73118,0.81973,0.55661,2.22387,2.1876,2.42284,0.000752,0.000752,0.000752
5,179.768,2.4799,2.30061,2.75984,0.69792,0.79224,0.84087,0.62453,1.97017,1.90971,2.29801,0.000736,0.000736,0.000736
6,212.323,2.311,1.92626,2.66918,0.90485,0.70772,0.86902,0.61186,2.10548,1.70307,2.39749,0.00072,0.00072,0.00072
7,244.832,2.2234,1.76581,2.56851,0.85139,0.80451,0.87422,0.59902,2.03192,1.70887,2.39273,0.000704,0.000704,0.000704
8,277.224,2.11935,1.64006,2.5623,0.85579,0.88408,0.90238,0.66769,1.7473,1.33664,2.23448,0.000688,0.000688,0.000688
9,309.721,1.99925,1.51528,2.4768,0.83605,0.87428,0.89415,0.70024,1.50905,1.30762,2.11694,0.000672,0.000672,0.000672
10,342.205,1.93458,1.37318,2.43841,0.77446,0.87051,0.8784,0.69954,1.30758,1.34435,2.04536,0.000656,0.000656,0.000656
11,374.699,1.92099,1.37712,2.45406,0.87379,0.87699,0.90077,0.75279,1.27792,1.1421,2.01326,0.00064,0.00064,0.00064
12,407.351,1.82484,1.31727,2.3919,0.82951,0.91632,0.8957,0.74368,1.25118,1.13433,2.00652,0.000624,0.000624,0.000624
13,439.715,1.82122,1.2767,2.39497,0.86166,0.84525,0.90561,0.74102,1.2919,1.18458,2.0361,0.000608,0.000608,0.000608
14,472.095,1.79088,1.20915,2.35833,0.9064,0.7723,0.90942,0.76619,1.17597,1.13372,1.97348,0.000592,0.000592,0.000592
15,504.573,1.75179,1.18661,2.3531,0.8062,0.82861,0.86676,0.72825,1.1739,1.32811,1.98456,0.000576,0.000576,0.000576
16,536.973,1.71555,1.15557,2.31971,0.9329,0.76996,0.89545,0.77511,1.15145,1.20034,1.9553,0.00056,0.00056,0.00056
17,569.421,1.67233,1.16937,2.28379,0.86466,0.80323,0.89209,0.73713,1.20295,1.26741,1.98564,0.000544,0.000544,0.000544
18,601.769,1.66509,1.1243,2.2705,0.96166,0.75718,0.90512,0.74927,1.22298,1.21763,2.03464,0.000528,0.000528,0.000528
19,634.248,1.68288,1.1198,2.29771,0.91727,0.80451,0.9053,0.75397,1.18114,1.22583,2.00713,0.000512,0.000512,0.000512
20,666.644,1.6752,1.09645,2.2799,0.87745,0.87764,0.91569,0.76227,1.24151,1.23823,2.02533,0.000496,0.000496,0.000496
21,699.335,1.59484,1.04069,2.26648,0.8465,0.84771,0.88966,0.7326,1.2824,1.2171,2.02255,0.00048,0.00048,0.00048
22,731.457,1.55904,1.01045,2.22748,0.85005,0.83623,0.89811,0.76256,1.1921,1.21696,1.99127,0.000464,0.000464,0.000464
23,763.576,1.55935,1.0307,2.24901,0.87098,0.84996,0.90349,0.74043,1.27158,1.18658,2.0733,0.000448,0.000448,0.000448
